Date,Price,Open,High,Low,Vol.,Change %
20-Jun-19,96.138,96.695,96.705,96.045,25.96K,-0.46%
19-Jun-19,96.582,97.165,97.205,96.515,29.41K,-0.59%
18-Jun-19,97.153,97.02,97.265,96.885,23.57K,-0.25%
17-Jun-19,97.396,97.515,97.6,97.335,2.27K,-0.18%
14-Jun-19,97.57,97.015,97.58,96.94,20.79K,0.59%
13-Jun-19,96.999,96.94,97.075,96.86,23.62K,0.03%
12-Jun-19,96.97,96.67,96.99,96.545,24.48K,0.34%
11-Jun-19,96.645,96.7,96.86,96.605,19.95K,-0.07%
10-Jun-19,96.711,96.58,96.895,96.575,24.30K,0.23%
7-Jun-19,96.49,96.965,97.13,96.405,29.82K,-0.52%
6-Jun-19,96.997,97.265,97.39,96.72,27.67K,-0.26%
5-Jun-19,97.251,97.055,97.305,96.655,25.32K,0.26%
4-Jun-19,96.999,97.135,97.275,96.9,25.60K,-0.06%
3-Jun-19,97.06,97.7,97.72,97.015,29.61K,-0.62%
31-May-19,97.666,98.085,98.085,97.63,19.07K,-0.39%
30-May-19,98.053,98.04,98.195,98,7.34K,0.02%
29-May-19,98.035,97.795,98.1,97.75,12.41K,0.20%
28-May-19,97.842,97.605,97.865,97.57,13.14K,0.37%
27-May-19,97.477,97.43,97.665,97.42,2.94K,0.00%
24-May-19,97.477,97.72,97.775,97.41,9.77K,-0.25%
23-May-19,97.723,97.95,98.26,97.665,19.35K,-0.16%
22-May-19,97.881,97.87,97.97,97.73,7.57K,-0.02%
21-May-19,97.896,97.79,97.975,97.635,14.85K,0.14%
20-May-19,97.764,97.845,97.875,97.72,7.31K,-0.06%
17-May-19,97.824,97.665,97.86,97.59,8.63K,0.15%
